Bruno Neri|https://dblp.org/pers/hd/n/Neri:Bruno|University of Pisa, Italy
Beshr Al Nahas|https://dblp.org/pers/hd/n/Nahas:Beshr_Al|
Simon Duquennoy|https://dblp.org/pers/hd/d/Duquennoy:Simon|
Thiemo Voigt|https://dblp.org/pers/hd/v/Voigt:Thiemo|
Antonio Arena|https://dblp.org/pers/hd/a/Arena:Antonio|
Carlo Puliafito|https://dblp.org/pers/hd/p/Puliafito:Carlo|
Sena Cebeci|https://dblp.org/pers/hd/c/Cebeci:Sena_Efsun|
Seyed Saeid Masoumzadeh|https://dblp.org/pers/hd/m/Masoumzadeh:Seyed_Saeid|
Helmut Hlavacs|https://dblp.org/pers/hd/h/Hlavacs:Helmut|University of Vienna, Faculty of Computer Science
Öznur Özkasap|https://dblp.org/pers/hd/=/=Ouml=zkasap:=Ouml=znur|Koç University, Istanbul, Turkey
Manuel Roveri|https://dblp.org/pers/hd/r/Roveri:Manuel|
Francesco Restuccia|https://dblp.org/pers/hd/r/Restuccia:Francesco|
Marco Conti|https://dblp.org/pers/hd/c/Conti:Marco|
Emilio Ancillotti|https://dblp.org/pers/hd/a/Ancillotti:Emilio|
Raffaele Bruno|https://dblp.org/pers/hd/b/Bruno:Raffaele|
Andrea Galli|https://dblp.org/pers/hd/g/Galli:Andrea|
Paolo Bruschi|https://dblp.org/pers/hd/b/Bruschi:Paolo|University of Pisa, Italy
Roberta Daidone|https://dblp.org/pers/hd/d/Daidone:Roberta|
Marco Ortolani|https://dblp.org/pers/hd/o/Ortolani:Marco|
Alessio Seghetti|https://dblp.org/pers/hd/s/Seghetti:Alessio|
Fabio Bindi|https://dblp.org/pers/hd/b/Bindi:Fabio|
Eleonora Borgia|https://dblp.org/pers/hd/b/Borgia:Eleonora|
Sena Cebeci|https://dblp.org/pers/hd/c/Cebeci:Sena|
Vincenzo Neri|https://dblp.org/pers/hd/n/Neri:Vincenzo|
Cesare Alippi|https://dblp.org/pers/hd/a/Alippi:Cesare|
Koteswararao Kondepu|https://dblp.org/pers/hd/k/Kondepu:Koteswararao|
Ilaria Giannetti|https://dblp.org/pers/hd/g/Giannetti:Ilaria|
Emilio Bellini|https://dblp.org/pers/hd/b/Bellini:Emilio|
Elisabetta Di Nitto|https://dblp.org/pers/hd/n/Nitto:Elisabetta_Di|
Carlo Ghezzi|https://dblp.org/pers/hd/g/Ghezzi:Carlo|Polytechnic University of Milan, Italy
Letizia Tanca|https://dblp.org/pers/hd/t/Tanca:Letizia|Politecnico di Milano, Italy
Eugenio Zimeo|https://dblp.org/pers/hd/z/Zimeo:Eugenio|
Mario Di Francesco|https://dblp.org/pers/hd/f/Francesco:Mario_Di|
Enrico Gregori|https://dblp.org/pers/hd/g/Gregori:Enrico|
Kunal Shah|https://dblp.org/pers/hd/s/Shah:Kunal|
Mohan Kumar|https://dblp.org/pers/hd/k/Kumar:Mohan|
Francesco Corucci|https://dblp.org/pers/hd/c/Corucci:Francesco|
Jean-Marc Pierson|https://dblp.org/pers/hd/p/Pierson:Jean=Marc|
Andrea Passarella|https://dblp.org/pers/hd/p/Passarella:Andrea|National Research Council, Italy
Silvia Giordano|https://dblp.org/pers/hd/g/Giordano:Silvia|
Damla Turgut|https://dblp.org/pers/hd/t/Turgut:Damla|
Yonghe Liu|https://dblp.org/pers/hd/l/Liu:Yonghe|
Daniela Nicklas|https://dblp.org/pers/hd/n/Nicklas:Daniela|University of Bamberg, Faculty Information Systems and Applied Computer Sciences
Steve Ward|https://dblp.org/pers/hd/w/Ward:Steve|
Daniele Puccinelli|https://dblp.org/pers/hd/p/Puccinelli:Daniele|
Nalini Venkatasubramanian|https://dblp.org/pers/hd/v/Venkatasubramanian:Nalini|University of California, Irvine, USA
Orazio Farruggia|https://dblp.org/pers/hd/f/Farruggia:Orazio|
Stephan Olariu|https://dblp.org/pers/hd/o/Olariu:Stephan|Old Dominion University, Norfolk, Virginia, USA
Andrea Bacioccola|https://dblp.org/pers/hd/b/Bacioccola:Andrea|
Claudio Cicconetti|https://dblp.org/pers/hd/c/Cicconetti:Claudio|
Luciano Lenzini|https://dblp.org/pers/hd/l/Lenzini:Luciano|University of Pisa, Italy
Monica Castronuovo|https://dblp.org/pers/hd/c/Castronuovo:Monica|
Cristian Galperti|https://dblp.org/pers/hd/g/Galperti:Cristian|
Francesca Mancini|https://dblp.org/pers/hd/m/Mancini:Francesca|
Emmanuele Monaldi|https://dblp.org/pers/hd/m/Monaldi:Emmanuele|
Edoardo Biagioni|https://dblp.org/pers/hd/b/Biagioni:Edoardo|University of Hawaii, Honolulu, HI, USA
Stefan Olariu|https://dblp.org/pers/hd/o/Olariu:Stefan|
Luciana Pelusi|https://dblp.org/pers/hd/p/Pelusi:Luciana|
Alberto Bartoli|https://dblp.org/pers/hd/b/Bartoli:Alberto|
Giacomo Giannini|https://dblp.org/pers/hd/g/Giannini:Giacomo|
Flaminia L. Luccio|https://dblp.org/pers/hd/l/Luccio:Flaminia_L=|
A. Falchi|https://dblp.org/pers/hd/f/Falchi:A=|
Willy Lapenna|https://dblp.org/pers/hd/l/Lapenna:Willy|
Renata Bandelloni|https://dblp.org/pers/hd/b/Bandelloni:Renata|
Franca Delmastro|https://dblp.org/pers/hd/d/Delmastro:Franca|
Giovanni Mainetto|https://dblp.org/pers/hd/m/Mainetto:Giovanni|
Jian Ye|https://dblp.org/pers/hd/y/Ye:Jian|
Symeon Papavassiliou|https://dblp.org/pers/hd/p/Papavassiliou:Symeon|
Antonio Puliafito|https://dblp.org/pers/hd/p/Puliafito:Antonio|University of Messina, Italy
Stefano Basagni|https://dblp.org/pers/hd/b/Basagni:Stefano|
Nicoletta De Francesco|https://dblp.org/pers/hd/f/Francesco:Nicoletta_De|University of Pisa, Italy
Antonella Santone|https://dblp.org/pers/hd/s/Santone:Antonella|
Yoram Ofek|https://dblp.org/pers/hd/o/Ofek:Yoram|
Francesco Spadoni|https://dblp.org/pers/hd/s/Spadoni:Francesco|
M. La Porta|https://dblp.org/pers/hd/p/Porta:M=_La|
Pierfrancesco Foglia|https://dblp.org/pers/hd/f/Foglia:Pierfrancesco|
Andreas Hettich|https://dblp.org/pers/hd/h/Hettich:Andreas|
Andreas Krämling|https://dblp.org/pers/hd/k/Kr=auml=mling:Andreas|
Davide Grillo|https://dblp.org/pers/hd/g/Grillo:Davide|
Beatrice Meini|https://dblp.org/pers/hd/m/Meini:Beatrice|
Vittorio Cortellessa|https://dblp.org/pers/hd/c/Cortellessa:Vittorio|University of L'Aquila, Italy
